exp_id,company,role,duration_months,description,skills_json,achievements_json,start_date,end_date,tags_json,indexed_at
exp_lycee_val_de_durance_2019_2020,"Lycee Polyvalent Val de Durance","Eleve Terminale Scientifique",10,"Parcours terminale scientifique avec forte orientation mathematiques et sciences physiques.","[""Communication"", ""Competences mathematiques"", ""Mediation scientifique"", ""Recherche fondamentale""]","[""Consolidation des bases scientifiques pour orientation vers CPGE et mathematiques appliquees""]",2019-09-01,2020-06-30,"[""education"", ""lycee"", ""mathematiques""]","2026-04-06 19:34:19"
exp_irem_hyppocampe_2019_12,"Institut de Recherche pour l'Enseignement des Mathematiques (IREM) - Aix Marseille Universite","Stagiaire HYPPOCAMPE / Animateur scientifique",1,"Stage HYPPOCAMPE (theme OXFORD et plus loin) avec travaux de recherche sur automate programmable et animation d'un stand mathematique.","[""Communication"", ""Competences mathematiques"", ""Mediation scientifique"", ""Recherche""]","[""Animation d'un stand mathematique (Tours d'Hanoi)"", ""Contribution a un evenement scientifique avec 2400 visiteurs"", ""Travaux de recherche sur automate programmable""]",2019-12-01,2019-12-31,"[""irem"", ""maths_pour_tous"", ""recherche"", ""vulgarisation""]","2026-04-06 19:34:19"
exp_cpge_fenelon_2020_2021,"Lycee Fenelon (Paris)","Etudiant CPGE",10,"TIPE sur l'utilisation des ondes ultrasonores pour fragmenter un calcul renal, avec modelisation dynamique des interactions bulles/onde/calcul.","[""Communication"", ""Gestion de projet"", ""Medecine preventive"", ""Modelisation mathematique"", ""Recherche""]","[""Caracterisation dynamique de l'interaction onde ultrasonore et bulles de vapeur"", ""Modelisation sous hypotheses de la fragmentation du calcul renal"", ""Positionnement interdisciplinaire: mecanique, ondulatoire, mathematiques appliquees""]",2020-09-01,2021-06-30,"[""cpge"", ""modelisation"", ""tipe"", ""ultrasons""]","2026-04-06 19:34:19"
exp_hsbc_attache_commercial_2022_08,HSBC,"Attache commercial",1,"Mission interimaire orientee relation client en agence bancaire.","[""Communication"", ""Relation client"", ""Travail d'equipe""]","[""Renforcement des competences en relation client"", ""Support operationnel en environnement bancaire""]",2022-08-01,2022-08-31,"[""banque"", ""interim"", ""relation_client""]","2026-04-06 19:34:19"
exp_cpge_claude_bernard_2022_2023,"Lycee Claude Bernard","Etudiant CPGE",10,"TIPE sur la localisation des fuites d'eau potable avec capteur acoustique SePem300 (ecoute du bruit d'ecoulement et detection).","[""Analyse des donnees"", ""Communication"", ""Conception"", ""Modelisation"", ""Modelisation des donnees"", ""Recherche"", ""Visualisation de donnees""]","[""Approche de detection de fuite par signal acoustique"", ""Etude du fonctionnement du capteur acoustique SePem300"", ""Positionnement interdisciplinaire: physique ondulatoire + informatique Python""]",2022-09-01,2023-06-30,"[""capteur_acoustique"", ""cpge"", ""python"", ""tipe""]","2026-04-06 19:34:19"
exp_hsbc_conseiller_2023_07_08,HSBC,"Conseiller bancaire",2,"Accueil clientele, controle des operations courantes, developpement commercial de la relation client et application des normes de controle interne HSBC.","[""Communication"", ""Gestion des operations"", ""Procedures internes"", ""Reglementation bancaire""]","[""Application des exigences de controle interne et de conformite"", ""Gestion des operations bancaires courantes en agence""]",2023-07-01,2023-08-31,"[""banque"", ""conformite"", ""operations""]","2026-04-06 19:34:19"
exp_natran_data_analyst_2023_2025,NaTran,"Analyste de donnees",25,"Analyste de donnees sur perimetre OPENDATA ODRE, traitement et analyse de donnees pour la transparence et la valorisation operationnelle.","[""Analyse des donnees"", ""Communication"", ""Gestion de projet"", ""Open data""]","[""Contribution aux sujets OPENDATA ODRE"", ""Production d'analyses data pour besoins metier""]",2023-09-01,2025-09-30,"[""data_analyst"", ""natran"", ""opendata""]","2026-04-06 19:34:19"
exp_natran_de_mobility_2025_present,"NaTran Deutschland","Analyste de donnees - Mobilite internationale",12,"Mobilite internationale a Berlin: analyse des flux de gaz europeens (ENTSOG), conception de rapports Power BI, et developpement d'outils collaboratifs (SharePoint, ticketing) pour la Data & Transparency Team.","[""Analyse des donnees"", ""Gestion de projet agile"", ""Microsoft Power Automate"", ""Microsoft Power BI"", ""Microsoft PowerApps"", ""SharePoint""]","[""Analyse des flux de gaz europeens (ENTSOG)"", ""Conception de rapports Power BI a forte valeur ajoutee"", ""Mise en place d'outils collaboratifs (SharePoint, ticket system)""]",2025-05-01,,"[""entsog"", ""international_mobility"", ""natran_deutschland"", ""power_bi""]","2026-04-06 19:34:19"
